#FM Index, Reads to be aligned, Bowtie2 Version, CPU used, Seed search, Remainder, Total, Seed search fraction
WoLr2, Girguis50_RightEG4_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_32_SMT, 33.7, 61.9, 95.6, 35%
WoLr2, Girguis50_RightEG4_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 33.4, 91.8, 125.2, 27%
WoLr2, Girguis50_RightEG4_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 33.3, 91.3, 124.6, 27%
WoLr2, Girguis50_RightEG4_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_32_SMT, 25.8, 62.9, 88.7, 29%
RS210, Song53_24613_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 68.3, 277.7, 346.0, 20%
RS210, Song53_24613_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 68.5, 279.4, 347.9, 20%
RS210, Song53_24613_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_32_SMT, 46.6, 205.7, 252.3, 18%
RS210, Song53_24613_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 46.3, 288.1, 334.4, 14%
RS210, Song53_24613_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 46.2, 288.5, 334.7, 14%
RS210, Song53_24613_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_32_SMT, 35.9, 206.7, 242.6, 15%
RS210, Mousseau88_FIN_373_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 57.5, 136.3, 193.8, 30%
RS210, Mousseau88_FIN_373_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 57.4, 136.2, 193.6, 30%
RS210, Mousseau88_FIN_373_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_32_SMT, 37.9, 95.5, 133.4, 28%
RS210, Mousseau88_FIN_373_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 37.4, 140.4, 177.8, 21%
RS210, Mousseau88_FIN_373_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 37.3, 140.5, 177.8, 21%
RS210, Mousseau88_FIN_373_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_32_SMT, 28.7, 96.6, 125.3, 23%
RS210, Girguis50_RightEG4_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 54.9, 155.2, 210.1, 26%
RS210, Girguis50_RightEG4_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_16, 54.9, 155.2, 210.1, 26%
RS210, Girguis50_RightEG4_host_filtered, bowtie2-v2.4.5, AMD_EPYC_7302_32_SMT, 36.6, 109.3, 145.9, 25%
RS210, Girguis50_RightEG4_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 35.8, 160.0, 195.8, 18%
RS210, Girguis50_RightEG4_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_16, 35.9, 159.8, 195.7, 18%
RS210, Girguis50_RightEG4_host_filtered, bowtie2-v2.5.0, AMD_EPYC_7302_32_SMT, 27.4, 110.0, 137.4, 20%
